etID  | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Output {GOLD}
10     | #ˌae̯stimˈɑːnioː# | *#ˌɛstɪmˈɒːnjo# | *#ˌɛstemˈoɲo# | *#stɪmˈoɲo# | *#ʃtɪ̃mˈɔ̃ɲɔ# | *#ʃtə̃mˈɔ̃ɲ# | *#ʃmˈɔ̃ɲ# {GOLD: >*} | *#ʃmˈɔ̃ɲ# {GOLD: >*} | *#ʃmˈɔɲ# {GOLD: #ʃmˈɔɲ#} | *#t͡ʃmˈɔj# {GOLD: #t͡ʃmˈɔj#}
11     | #ˈae̯tɑːtɑ# | *#ˈɛtɑːtɑ# | *#ˈɛttɑ# | *#ˈɛtta# | *#ˈɛːta# | *#jˈɛtə# | *#jˈɛtə# {GOLD: >*} | *#jˈɛtə# {GOLD: >*} | *#jˈɛtə# {GOLD: >*} | *#jˈɛtə# {GOLD: #jˈɛtə#}
12     | #ˌɑːkˈinɡulum# | *#ˌɑːkˈɪnɡʊlʊ# | *#ˌɑkˈenɡulu# | *#cˈenɡulu# | *#cˈẽnɡulu# | *#cˈɛ̃nɡulˠ# | *#cˈɛ̃ŋɡl̩# {GOLD: >*} | *#cˈɛ̃ŋɡl̩# {GOLD: #cˈĩɲɟ#} | *#cˈɛŋɟ# {GOLD: >*} | *#cˈɛɲɟ# {GOLD: #cˈɛɲɟ#}
13     | #ˌɑkkˈipitum# | *#ˌɑkkˈɪpɪtʊ# | *#ˌɑkkˈiptu# | *#kkˈiptu# | *#cˈiptu# | *#cˈiːft# | *#cˈiːft# {GOLD: >*} | *#cˈiːft# {GOLD: >*} | *#cˈift# {GOLD: >*} | *#cˈift# {GOLD: #cˈift#}
14     | #ˌɑkkˈipitrem# | *#ˌɑkkˈɪpɪtrɛ# | *#ˌɑkkˈiptrɛ# | *#kkˈiptrɪ# | *#cˈiptɾɪ# | *#cˈiːftɾ# | *#cˈiːftɾ̩# {GOLD: >*} | *#cˈiːftɾ̩# {GOLD: >*} | *#cˈiftɾ̩# {GOLD: >*} | *#cˈiftəɾ# {GOLD: #cˈiftəɾ#}
15     | #ˌɑksˈunɡiɑ# | *#ˌɑsˈʊnɡjɑ# | *#ˌɑsˈuɲjɑ# | *#ˌaːsˈuɲa# | *#ˌaʃˈũɲa# | *#ˌaʃˈũɲə# | *#ˌaʃˈũɲə# {GOLD: #aʃˈũɲə#} | *#ˌaʃˈũɲə# {GOLD: #uʃˈũɲə#} | *#ˌaʃˈuɲə# {GOLD: #uʃˈuɲə#} | *#aʃˈuɲə# {GOLD: #uʃˈujə#}
16     | #ˈɑlbɑnum# | *#ˈɑlbɑnʊ# | *#ˈɑlbɑnu# | *#ˈalbɑ̃ɾ̃u# | *#ˈalbɐɾ̃u# | *#ˈaːlbɐɾ̃# | *#ˈaːlbəɾ̃# {GOLD: #ˈaɾbə̃ɾ̃ə#} | *#ˈaːlbəɾ̃# {GOLD: >*} | *#ˈalbəɾ# {GOLD: >*} | *#ˈalbəɾ# {GOLD: #ˈaɾbəɾ#}
17     | #ˌɑlbɑːnˈensum# | *#ˌɑlbɑːnˈɛnsʊ# | *#ˌɑlbɑnˈɛsu# | *#əlbaɾ̃ˈɛsu# | *#əlbə̃ɾ̃ˈɛʃu# | *#əlbə̃ɾ̃ˈɛːʃ# | *#əlbə̃ɾ̃ˈɛːʃ# {GOLD: #aɾbəɾ̃ˈɛʃ#} | *#əlbə̃ɾ̃ˈɛːʃ# {GOLD: >*} | *#əlbəɾˈɛʃ# {GOLD: >*} | *#əlbəɾˈɛʃ# {GOLD: #aɾbəɾˈɛʃ#}
18     | #ˈɑlium# | *#ˈɑljʊ# | *#ˈɑʎu# | *#ˈaʎu# | *#ˈaʎu# | *#ˈaːʎ# | *#ˈaːʎ# {GOLD: >*} | *#ˈaːʎ# {GOLD: >*} | *#ˈaj# {GOLD: >*} | *#ˈaj# {GOLD: #ˈaj#}
19     | ... | ... | ... | *#llɪɡɔrˈia# | *#llɪɡɔːɾˈia# | *#lːəɡɔːɾˈiː# | *#lːəɡɾˈiː# {GOLD: #ləɡɔɾˈi#} | *#lːəɡɾˈiː# {GOLD: >*} | *#ləɡɾˈi# {GOLD: >*} | *#ləɡɾˈi# {GOLD: #lɔɡɔɾˈi#}
20     | ... | ... | *#ˌɑltˈɑre# | *#əltˈerɪ# | *#əltˈeɾɪ# | *#əltˈɛːɾ# | *#əltˈɛːɾ# {GOLD: #l̩tˈɛːɾ#} | *#əltˈɛːɾ# {GOLD: >*} | *#əltˈɛɾ# {GOLD: #əltˈɛɾ#} | *#əltˈɛɾ# {GOLD: #əltˈɛɾ#}
21     | #ˌɑmbipˌɑtˈiːnum# | *#ˌɑmbʊpˌɑtˈinʊ# | *#ˌɑmbupˌɑtˈinu# | *#əmbupˌatˈinu# | *#ə̃mbəpətˈĩnu# | *#ə̃mbəpətˈĩː# | *#ə̃mbətˈĩː# {GOLD: #mpətˈĩː#} | *#ə̃mbətˈĩː# {GOLD: >*} | *#mətˈi# {GOLD: >*} | *#mətˈi# {GOLD: #mtˈi#}
22     | #ˌɑmbulˈɑːnioː# | *#ˌɑmbʊlˈɒːnjo# | *#ˌɑmbulˈoɲo# | *#əmbulˈoɲo# | *#ə̃mbulˈɔ̃ɲɔ# | *#ə̃mbulˠˈɔ̃ɲ# | *#ə̃mbulˠˈɔ̃ɲ# {GOLD: #m̩bəlˠˈɔ̃ɲ#} | *#ə̃mbulˠˈɔ̃ɲ# {GOLD: >*} | *#mbulˠˈɔɲ# {GOLD: >*} | *#mbulˠˈɔj# {GOLD: #mbalˠˈɔj#}
23     | #ˌɑmˈɑndolɑ# | *#ˌɑmˈɑndʊlɑ# | *#ˌɑmˈɑndulɑ# | *#mˈandula# | *#mˈãndula# | *#mˈãndulˠ# | *#mˈandulˠ# {GOLD: >*} | *#mˈandulˠ# {GOLD: >*} | *#mˈandulˠ# {GOLD: >*} | *#mˈandulˠ# {GOLD: #mˈɛndulˠ#}
24     | #ˌɑmˈiːkum# | *#ˌɑmˈikʊ# | *#ˌɑmˈiku# | *#mˈiku# | *#mˈiku# | *#mˈik# | *#mˈik# {GOLD: >*} | *#mˈik# {GOLD: >*} | *#mˈik# {GOLD: >*} | *#mˈik# {GOLD: #mˈik#}
25     | #ˈɑmitɑm# | *#ˈɑmɪtɑ# | *#ˈɑmetɑ# | *#ˈemɪta# | *#ˈẽmɪta# | *#ˈɛ̃mtə# | *#ˈɛ̃mtə# {GOLD: #ˈæ̃mətə#} | *#ˈɛ̃mtə# {GOLD: >*} | *#ˈɛmtə# {GOLD: >*} | *#ˈɛmtə# {GOLD: #ˈɛmtə#}
26     | #ˌɑmˈurɡɑ# | *#ˌɑmˈʊrɡɑ# | *#ˌɑmˈurɡɑ# | *#mˈurɡa# | *#mˈuɾɡa# | *#mˈuːɾɡə# | *#mˈuːɾɡə# {GOLD: #mˈuɾɡə#} | *#mˈuːɾɡə# {GOLD: >*} | *#mˈuɾɡə# {GOLD: >*} | *#mˈuɾɡə# {GOLD: #mˈuɾɡə#}
27     | ... | ... | ... | ... | *#ˈɑ̃nɟɛlu# | *#ˈɑ̃nɟəlˠ# | *#ˈãɲɟ?0# {GOLD: >*} | *#ˈə̃ɲɟ?0# {GOLD: >*} | *#ˈəɲɟ?0# {GOLD: >*} | *#ˈəɲɟəlˠ# {GOLD: #ˈəɲɟəlˠ#}
28     | ... | ... | *#ˈɑnɡɛlu# | *#ˈenɡɪlu# | *#ˈẽnɟɪlu# | *#ˈɛ̃nɟəlˠ# | *#ˈɛ̃ɲɟ?0# {GOLD: >*} | *#ˈɛ̃ɲɟ?0# {GOLD: >*} | *#ˈɛɲɟ?0# {GOLD: >*} | *#ˈɛɲɟəlˠ# {GOLD: #ˈɛɲɟəlˠ#}
29     | #ˌɑnɡˈustum# | *#ˌɑnɡˈʊstʊ# | *#ˌɑnɡˈustu# | *#ənɡˈustu# | *#ə̃nɡˈuʃtu# | *#ə̃nɡˈuːʃt# | *#ə̃ŋɡˈuːʃt# {GOLD: #n̩ɡˈuʃt#} | *#ə̃ŋɡˈuːʃt# {GOLD: >*} | *#ŋɡˈuʃt# {GOLD: #əŋɡˈuʃt#} | *#ŋɡˈuʃt# {GOLD: #ŋɡˈuʃt#}
30     | #ˌɑnɡustˈɑːnioː# | *#ˌɑnɡʊstˈɒːnjo# | *#ˌɑnɡustˈoɲo# | *#ənɡustˈoɲo# | *#ə̃nɡuːʃtˈɔ̃ɲɔ# | *#ə̃nɡuːʃtˈɔ̃ɲ# | *#ə̃ŋɡuːʃtˈɔ̃ɲ# {GOLD: >*} | *#ə̃ŋɡuːʃtˈɔ̃ɲ# {GOLD: >*} | *#ŋɡuʃtˈɔɲ# {GOLD: >*} | *#ŋɡuʃtˈɔj# {GOLD: #ŋɡuʃtˈɔj#}
31     | #ˌɑntˈoːnium# | *#ˌɑntˈɒːnjʊ# | *#ˌɑntˈoɲu# | *#əntˈoɲu# | *#ə̃ntˈɔ̃ɲu# | *#ə̃ndˈɔ̃ɲ# | *#ə̃ndˈɔ̃ɲ# {GOLD: #n̩dˈuo̯#} | *#ə̃ndˈɔ̃ɲ# {GOLD: ...} | ... {GOLD: ...} | ... {GOLD: ...}
32     | #ˌɑnˈullɑm# | *#ˌɑnˈʊllɑ# | *#ˌɑnˈulːɑ# | *#nˈulːa# | *#nˈulːa# | *#nˈuːlːə# | *#nˈuːlːə# {GOLD: >*} | *#nˈuːlːə# {GOLD: >*} | *#nˈulə# {GOLD: >*} | *#nˈulə# {GOLD: #nˈulə#}
33     | #ˌɑppˌɑrɑmˈentum# | *#ˌɑppˌɑrɑmˈɛntʊ# | *#ˌɑppˌɑrɑmˈɛntu# | *#ppˌaramˈɛntu# | *#pˌaɾə̃mˈɛ̃ntu# | *#pˌaɾə̃mˈɛ̃nd# | *#pˌaɾə̃mˈɛ̃nd# {GOLD: #paɾmˈɛ̃nd#} | *#pˌaɾmˈɛ̃nd# {GOLD: >*} | *#pˌaɾmˈɛnd# {GOLD: >*} | *#paɾmˈɛnd# {GOLD: #paɾmˈɛnd#}
34     | #ˌɑprˈiːlem# | *#ˌɑprˈilɛ# | *#ˌɑprˈilɛ# | *#prˈilɪ# | *#pɾˈilɪ# | *#pɾˈiːl# | *#pɾˈiːl# {GOLD: >*} | *#pɾˈiːl# {GOLD: >*} | *#pɾˈil# {GOLD: >*} | *#pɾˈil# {GOLD: #pɾˈilˠ#}
35     | #ˈɑptum# | *#ˈɑptʊ# | *#ˈɑptu# | *#ˈaptu# | *#ˈaptu# | *#ˈaːft# | *#ˈaːft# {GOLD: >*} | *#ˈaːft# {GOLD: >*} | *#ˈaft# {GOLD: >*} | *#ˈaft# {GOLD: #ˈaft#}
36     | #ˌɑrˈeːnɑm# | *#ˌɑrˈeːnɑ# | *#ˌɑrˈenɑ# | *#ɔːʷrˈana# | *#ʊɾˈãɾ̃a# | *#ʊɾˈãɾ̃ə# | *#ɾˈãɾ̃ə# {GOLD: #ɾˈɑ̃ɾ̃ə#} | *#ɾˈə̃ɾ̃ə# {GOLD: >*} | *#ɾˈəɾə# {GOLD: >*} | *#ɾˈəɾə# {GOLD: #ɾˈəɾə#}
37     | #ˌɑrɡˈentum# | *#ˌɑrɡˈɛntʊ# | *#ˌɑrɡˈɛntu# | *#ərɟˈɛntu# | *#əɾɟˈɛ̃ntu# | *#əɾɟˈɛ̃nd# | *#əɾɟˈɛ̃nd# {GOLD: #ɾ̩ɟˈɑ̃nt#} | *#əɾɟˈɛ̃nd# {GOLD: >*} | *#əɾɟˈɛnd# {GOLD: #əɾɟˈənd#} | *#əɾɟˈɛnd# {GOLD: #ɾɟˈənd#}
38     | #ˈɑrmɑ# | *#ˈɑrmɑ# | *#ˈɑrmɑ# | *#ˈarma# | *#ˈaɾma# | *#ˈaːɾmə# | *#ˈaːɾmə# {GOLD: >*} | *#ˈaːɾmə# {GOLD: >*} | *#ˈaɾmə# {GOLD: >*} | *#ˈaɾmə# {GOLD: #ˈaɾmə#}
39     | #ˌɑrmˈɑːnioː# | *#ˌɑrmˈɒːnjo# | *#ˌɑrmˈoɲo# | *#ərmˈoɲo# | *#əɾmˈɔ̃ɲɔ# | *#əɾmˈɔ̃ɲ# | *#əɾmˈɔ̃ɲ# {GOLD: #aɾmˈɔ̃ɲ#} | *#əɾmˈɔ̃ɲ# {GOLD: ...} | ... {GOLD: ...} | ... {GOLD: ...}
40     | #ˌɑrmˈɑːtɑ# | *#ˌɑrmˈɑːtɑ# | *#ˌɑrmˈɑtɑ# | *#ərmˈata# | *#əɾmˈata# | *#əɾmˈatə# | *#əɾmˈatə# {GOLD: #r̩mˈatə#} | *#əɾmˈatə# {GOLD: >*} | *#əɾmˈatə# {GOLD: >*} | *#əɾmˈatə# {GOLD: #rəmˈatə#}
41     | #ˌɑrmˌissˈɑːrium# | *#ˌɑrmˌɪssˈɒːrʊ# | *#ˌɑrmˌessˈoru# | *#hˌarmɪssˈoru# | *#hˌaɾmɪʃˈɔɾu# | *#hˌaɾməʃˈuo̯ɾ# | *#hˌaɾməʃˈuo̯ɾ# {GOLD: #haɾməʃˈuo̯ɾ#} | *#hˌaɾməʃˈua̯ɾ# {GOLD: >*} | *#hˌaɾməʃˈua̯ɾ# {GOLD: #haɾməʃˈua̯ɾ#} | *#haɾməʃˈɔɾ# {GOLD: #hamʃˈɔɾ#}
42     | #ˌɑrrˌiːwˈɑːnioː# | *#ˌɑrrˌiwˈɒːnjo# | *#ˌɑrrˈiwoɲo# | *#ˌaːrːˈiwoɲo# | *#ˌarːˈĩːɲɔ# | *#ˌarːˈĩːɲ# | *#ˌarˈĩːɲ# {GOLD: #ɦarˈĩːɲ#} | *#ˌarˈĩːɲ# {GOLD: >*} | *#ˌarˈiɲ# {GOLD: >*} | *#arˈij# {GOLD: #arˈij#}
43     | #ˈɑrkum# | *#ˈɑrkʊ# | *#ˈɑrku# | *#ˈarku# | *#ˈaɾku# | *#ˈaːɾk# | *#ˈaːɾk# {GOLD: #ɦˈaɾk#} | *#ˈaːɾk# {GOLD: >*} | *#ˈaɾk# {GOLD: >*} | *#ˈaɾk# {GOLD: #ˈaɾk#}
44     | #ˈɑrkɑm# | *#ˈɑrkɑ# | *#ˈɑrkɑ# | *#ˈarka# | *#ˈaɾka# | *#ˈaːɾkə# | *#ˈaːɾkə# {GOLD: >*} | *#ˈaːɾkə# {GOLD: >*} | *#ˈaɾkə# {GOLD: >*} | *#ˈaɾkə# {GOLD: #ˈaɾkə#}
45     | #ˈɑsklɑ# | *#ˈɑsklɑ# | *#ˈɑsklɑ# | *#ˈaskla# | *#ˈaʃkla# | *#ˈaːʃklə# | *#ˈaːʃkl̩# {GOLD: #ˈaʃkl̩#} | *#ˈaːʃkl̩# {GOLD: >*} | *#ˈaʃkl̩# {GOLD: #ˈaʃklə#} | *#ˈaʃkəl# {GOLD: #ˈaʃkəl#}
46     | #ˌɑspˈɑrɑɡum# | *#ˌɑspˈɑrɑɡʊ# | *#ˌɑspˈɑrɑɡu# | *#spˈaraɡu# | *#ʃpˈaɾɐɡu# | *#ʃpˈaːɾɐɡ# | *#ʃpˈaːɾəɡ# {GOLD: >*} | *#ʃpˈaːɾəɡ# {GOLD: >*} | *#ʃpˈaɾəɡ# {GOLD: >*} | *#ʃpˈaɾɡ# {GOLD: #ʃpˈaɾɡ#}
47     | #ˈɑsper# | *#ˈɑspɛr# | *#ˈɑspɛr# | *#ˈaspɪr# | *#ˈaʃpɪɾ# | *#ˈaːʃpəɾ# | *#ˈaːʃpɾ̩# {GOLD: >*} | *#ˈaːʃpɾ̩# {GOLD: >*} | *#ˈaʃpɾ̩# {GOLD: >*} | *#ˈaʃpəɾ# {GOLD: #ˈaʃpəɾ#}
48     | #ˌɑːwˈentum# | *#ˌɑːwˈɛntʊ# | *#ˌɑvˈɛntu# | *#vˈɛntu# | *#vˈɛ̃ntu# | *#vˈɛ̃nd# | *#vˈɛ̃nd# {GOLD: #vˈɛ̃nt#} | *#vˈɛ̃nd# {GOLD: >*} | *#vˈɛnd# {GOLD: >*} | *#vˈɛnd# {GOLD: #vˈɛnd#}
49     | ... | ... | ... | ... | *#ˌaβlə̃mˈẽntu# | *#ˌavlə̃mˈɛ̃nd# | *#ˌavlə̃mˈɛ̃nd# {GOLD: >*} | *#ˌavlə̃mˈɛ̃nd# {GOLD: >*} | *#ˌavləmˈɛnd# {GOLD: >*} | *#avləmˈɛnd# {GOLD: #avləmˈɛnd#}
50     | #ˌɑwɡˈustum# | *#ˌɑwɡˈʊstʊ# | *#ˌɑwɡˈustu# | *#ɡˈustu# | *#ɡˈuʃtu# | *#ɡˈuːʃt# | *#ɡˈuːʃt# {GOLD: >*} | *#ɡˈuːʃt# {GOLD: >*} | *#ɡˈuʃt# {GOLD: >*} | *#ɡˈuʃt# {GOLD: #ɡˈuʃt#}
51     | #ˌɑwrˈeolum# | *#ˌɑwrjˈɔlʊ# | *#ˌɑwrjˈolu# | *#rːˈølu# | *#rːˈœlu# | *#rːˈye̯lˠ# | *#rˈye̯lˠ# {GOLD: >*} | *#rˈye̯lˠ# {GOLD: >*} | *#rˈye̯lˠ# {GOLD: >*} | *#rˈye̯lˠ# {GOLD: #rˈye̯lˠ#}
52     | #ˈɑwrum# | *#ˈɑwrʊ# | *#ˈɑwru# | *#ˈaːru# | *#ˈaːɾu# | *#ˈaːɾ# | *#ˈaːɾ# {GOLD: #ˈaːɾ#} | *#ˈaːɾ# {GOLD: #ˈaːɾ#} | *#ˈaɾ# {GOLD: >*} | *#ˈaɾ# {GOLD: #ˈaɾ#}
53     | #ˌɑwˈunkulum# | *#ˌɑwˈʊnkʊlʊ# | *#ˌɑwˈunkulu# | *#wˈunkulu# | *#wˈũnkulu# | *#ˈũnɡulˠ# | *#ˈũŋɡl̩# {GOLD: #ˈũŋkl̩#} | *#ˈũŋɡl̩# {GOLD: >*} | *#ˈuŋɟ# {GOLD: >*} | *#ˈuɲɟ# {GOLD: #ˈuɲɟ#}
54     | #bˈɑlsɑmum# | *#bˈɑlsɑmʊ# | *#bˈɑlsɑmu# | *#bˈalsamu# | *#bˈalʃɐmu# | *#bˈaːlʃɐm# | *#bˈaːlʃm̩# {GOLD: #bˈalʃm̩#} | *#bˈaːlt͡ʃm̩# {GOLD: >*} | *#bˈalt͡ʃm̩# {GOLD: >*} | *#bˈalt͡ʃəm# {GOLD: #bˈalt͡ʃəm#}
55     | #bˈɑlneɑ# | *#bˈɑlnjɑ# | *#bˈɑlɲɑ# | *#bˈalɲa# | *#bˈaɲa# | *#bˈaɲə# | *#bˈaɲə# {GOLD: >*} | *#bˈaɲə# {GOLD: >*} | *#bˈaɲə# {GOLD: >*} | *#bˈaɲə# {GOLD: #bˈaɲə#}
56     | #bˌɑrˈɑtʰrum# | *#bˌɑrˈɑtʰrʊ# | *#bˌɑrˈɑtru# | *#bˌarˈatru# | *#bˌaɾˈatɾu# | *#bˌaɾˈatɾ# | *#bˌaɾˈatɾ̩# {GOLD: >*} | *#bˌaɾˈatɾ̩# {GOLD: >*} | *#bˌaɾˈatɾ̩# {GOLD: >*} | *#baɾˈatəɾ# {GOLD: #balˈadəɾ#}
57     | #bˈɑrkɑm# | *#bˈɑrkɑ# | *#bˈɑrkɑ# | *#bˈarka# | *#bˈaɾka# | *#bˈaːɾkə# | *#bˈaːɾkə# {GOLD: >*} | *#bˈaːɾkə# {GOLD: >*} | *#bˈaɾkə# {GOLD: >*} | *#bˈaɾkə# {GOLD: #bˈaɾkə#}
58     | #bˌɑrˈoːnem# | *#bˌɑrˈoːnɛ# | *#bˌɑrˈonɛ# | *#bˌarˈonɪ# | *#bˌaɾˈɔ̃ɾ̃ɪ# | *#bˌaɾˈũo̯# | *#bˌaɾˈũo̯# {GOLD: #bəɾˈuo̯#} | *#bˌaɾˈũa̯# {GOLD: ...} | ... {GOLD: ...} | ... {GOLD: ...}
59     | #bˌɑttuˈɑːliɑm# | *#bˌɑttwˈɑːljɑ# | *#bˌɑttwˈɑʎɑ# | *#bˌattˈaʎa# | *#bˌatˈaʎa# | *#bˌatˈaːʎə# | *#bˌatˈaːʎə# {GOLD: >*} | *#bˌatˈaːʎə# {GOLD: >*} | *#bˌatˈajə# {GOLD: >*} | *#batˈajə# {GOLD: #bɛtˈɛjə#}
60     | #bˌɑttuˈɑːliɑm# | *#bˌɑttwˈɑːljɑ# | *#bˌɑttwˈɑʎɑ# | *#bˌattˈaʎa# | *#bˌatˈaʎa# | *#bˌatˈaːʎə# | *#bˌatˈaːʎə# {GOLD: #bətˈaʎə#} | *#bˌatˈaːʎə# {GOLD: >*} | *#bˌatˈajə# {GOLD: >*} | *#batˈajə# {GOLD: #bətˈajə#}
61     | #bˌenediːkˈonioː# | *#bˌɛnɛdikˈɔnjo# | *#bˌɛndikˈoɲo# | *#bˌɛndkˈoɲo# | *#bˌɛ̃ndkˈɔ̃ɲɔ# | *#bˌɛ̃ndkˈɔ̃ɲ# | *#bˌɛ̃nkˈɔ̃ɲ# {GOLD: #b̩ndəkˈɔ̃ɲ#} | *#bˌɛ̃nkˈɔ̃ɲ# {GOLD: #bˌn̩kˈɔ̃ɲ#} | *#bˌɛnkˈɔɲ# {GOLD: >*} | *#bɛnkˈɔj# {GOLD: #bənkˈɔj#}
62     | #bˈeːstiɑm# | *#bˈeːstjɑ# | *#bˈest͡ʃjɑ# | *#bˈist͡ʃa# | *#bˈɛʃa# | *#bˈɛːʃə# | *#bˈɛːʃə# {GOLD: >*} | *#bˈɛːʃə# {GOLD: >*} | *#bˈɛʃə# {GOLD: >*} | *#bˈɛʃə# {GOLD: #bˈiʃə#}
63     | #bˌiːnˈɑːrium# | *#bˌinjˈɒːrʊ# | *#bˌiɲˈoru# | *#bˌiɲˈoru# | *#bˌĩːɲˈɔɾu# | *#bˌĩːɲˈaɾ# | *#bˌĩːɲˈaɾ# {GOLD: >*} | *#bˌĩːɲˈaɾ# {GOLD: >*} | *#bˌiɲˈaɾ# {GOLD: >*} | *#biɲˈaɾ# {GOLD: #biɲˈaɾ#}
64     | #blˈennum# | *#blˈɛnːʊ# | *#blˈɛnːu# | *#blˈɛnːu# | *#blˈɛ̃nːu# | *#blˈɛ̃nː# | *#blˈɛ̃nː# {GOLD: >*} | *#blˈɛ̃n# {GOLD: >*} | *#blˈɛn# {GOLD: >*} | *#blˈɛn# {GOLD: #blˈi#}
65     | #bˈolɑ# | *#bˈɔlɑ# | *#bˈolɑ# | *#bˈola# | *#bˈɔla# | *#bˈɔːlˠə# | *#bˈɔːlˠə# {GOLD: >*} | *#bˈɔːlˠə# {GOLD: >*} | *#bˈɔlˠə# {GOLD: >*} | *#bˈɔlˠə# {GOLD: #bˈɔlˠə#}
66     | #brˈɑːkae̯# | *#brˈɑːkɛ# | *#brˈɑkɛ# | *#brˈekɪ# | *#bɾˈecɪ# | *#bɾˈɛc# | *#bɾˈɛc# {GOLD: >*} | *#bɾˈɛc# {GOLD: >*} | *#bɾˈɛc# {GOLD: >*} | *#bɾˈɛc# {GOLD: #bɾˈɛkə#}
