etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Output {GOLD}
30     | ... | ... | ... | #ˌɑrmˌissˈɑːrium# | *#ˌɑrmˌɪssˈɒːrjʊ# | *#ˌɑrmˌessˈorju# | *#hˌarmɪssˈoru# | *#hˌaɾmɪʃˈɔɾu# | *#hˌaɾməʃˈuo̯ɾə# | *#hˌaɾməʃˈuo̯ɾ# {GOLD: #haɾməʃˈuo̯ɾ#} | *#hˌaɾməʃˈua̯ɾ# {GOLD: >*} | *#haɾməʃˈua̯ɾ# {GOLD: #haɾməʃˈua̯ɾ#} | *#haɾməʃˈɔɾ# {GOLD: #hamʃˈɔɾ#}
31     | ... | ... | ... | #ˌeːdˌiktˈɑːnioː# | *#ˌeːdˌɪktˈɒːnju# | *#ˌedˌektˈoɲu# | *#hˌeðˌektˈoɲu# | *#hˌeðɪktˈɔ̃ɲu# | *#hˌɛːtˈɔ̃ɲə# | *#hˌɛːtˈɔ̃ɲ# {GOLD: >*} | *#hˌɛːtˈɔ̃ɲ# {GOLD: >*} | *#hɛtˈɔɲ# {GOLD: >*} | *#hɛtˈɔj# {GOLD: #hɛtˈɔj#}
32     | ... | ... | ... | #ˌeksrˌiːmˈɑːnioː# | *#ˌɛsrˌimˈɒːnju# | *#ˌɛsrˌimˈoɲu# | *#hˌɛrˌimˈoɲu# | *#hˌɛɾə̃mˈɔ̃ɲu# | *#hˌɛɾə̃mˈɔ̃ɲə# | *#hˌɛɾə̃mˈɔ̃ɲ# {GOLD: >*} | *#hˌɛɾmˈɔ̃ɲ# {GOLD: >*} | *#hɛɾmˈɔɲ# {GOLD: >*} | *#hɛɾmˈɔj# {GOLD: #hɛɾmˈɔj#}
33     | ... | ... | ... | #hˈoːrɑm# | *#hˈoːrɑ# | *#hˈørɑ# | *#hˈøra# | *#hˈœɾa# | *#hˈɛːɾa# | *#hˈɛːɾə# {GOLD: #hˈɛɾə#} | *#hˈɛːɾə# {GOLD: >*} | *#hˈɛɾə# {GOLD: >*} | *#hˈɛɾə# {GOLD: #hˈɛɾə#}
34     | ... | ... | ... | #hˌinnikulˈɑːnioː# | *#hˌɪnnɪkʊlˈɒːnju# | *#hˌenːekulˈoɲu# | *#nːɪkulˈoɲu# | *#nːɪkulˈɔ̃ɲu# | *#nːɡulˠˈɔ̃ɲə# | *#ŋɡulˠˈɔ̃ɲ# {GOLD: >*} | *#ɲ̈ɡulˠˈɔ̃ɲ# {GOLD: >*} | *#ɲ̈ɡulˠˈɔɲ# {GOLD: >*} | *#ŋɡulˠˈɔj# {GOLD: #hiŋɡəlˠˈɔj#}
35     | ... | ... | ... | ... | ... | ... | ... | ... | #xˌɨtˈɑtɪ# | *#xˌitˈat# {GOLD: >*} | *#hˌitˈat# {GOLD: >*} | *#hitˈat# {GOLD: >*} | *#hitˈat# {GOLD: #hitˈat#}
36     | ... | ... | ... | #hˌinnˈikulɑ# | *#hˈɪnnikʊlɑ# | *#hˈenːikulɑ# | *#hˈinːɪkula# | *#hˈĩnːɪkula# | *#hˈĩnːɡəlːə# | *#hˈĩŋɡl̩ː# {GOLD: >*} | *#hˈĩɲ̈ɡl̩ː# {GOLD: >*} | *#hˈiɲ̈ɡl̩# {GOLD: >*} | *#hˈiŋɡəl# {GOLD: #hˈiŋɡəl#}
37     | ... | ... | ... | ... | ... | ... | ... | #xˌɒɾmˈɒβɑ# | *#xˌɒɾmˈɒvɑ# | *#xˌɔɾmˈɔvə# {GOLD: #xˌɒrmˈɔvə#} | *#hˌɔɾmˈɔvə# {GOLD: >*} | *#hɔɾmˈɔvə# {GOLD: >*} | *#hɔɾmˈɔvə# {GOLD: #hɔɾmˈɔvə#}
38     | ... | ... | ... | ... | ... | ... | #jˈɔkʊ# | *#jˈɔkə# | *#jˈɔkə# | *#jˈɔk# {GOLD: >*} | *#jˈɔk# {GOLD: >*} | *#jˈɔk# {GOLD: >*} | *#jˈɔk# {GOLD: #hˈɔkə#}
39     | ... | ... | ... | ... | ... | ... | ... | ... | #xˈɔːrɑ# | *#xˈɔːɾə# {GOLD: >*} | *#hˈɔːɾə# {GOLD: >*} | *#hˈɔɾə# {GOLD: >*} | *#hˈɔɾə# {GOLD: #hˈɔɾə#}
40     | ... | ... | ... | ... | ... | ... | ... | ... | #xˌukˈɑtɪ# | *#xˌukˈat# {GOLD: >*} | *#hˌukˈat# {GOLD: >*} | *#hukˈat# {GOLD: >*} | *#hukˈat# {GOLD: #hukˈat#}
41     | ... | ... | ... | ... | #ˌɑltˈɑːre# | *#ˌɑltˈɑre# | *#əltˈerɪ# | *#əltˈeɾɪ# | *#əltˈɛːɾə# | *#əltˈɛːɾ# {GOLD: #l̩tˈɛːɾ#} | *#əltˈɛːɾ# {GOLD: >*} | *#əltˈɛɾ# {GOLD: #əltˈɛɾ#} | *#əltˈɛɾ# {GOLD: #əltˈɛɾ#}
42     | ... | ... | ... | #ˌɑrɡˈentum# | *#ˌɑrɡˈɛntʊ# | *#ˌɑrɡˈɛntu# | *#ərɟˈɛntu# | *#əɾɟˈɛ̃ntu# | *#əɾɟˈɛ̃ndə# | *#əɾɟˈɛ̃nd# {GOLD: #ɾ̩ɟˈẽnt#} | *#əɾɟˈɛ̃nd# {GOLD: >*} | *#əɾɟˈɛnd# {GOLD: #əɾɟˈɛnd#} | *#əɾɟˈɛnd# {GOLD: #əɾɟˈɛnd#}
43     | ... | ... | ... | ... | ... | ... | ... | #ˌarsˈɛnɪka# | *#ˌarsˈɛnɡa# | *#ˌaɾsˈɛŋɡə# {GOLD: >*} | *#ˌaɾsˈɛɲ̈ɡə# {GOLD: >*} | *#aɾsˈɛɲ̈ɡə# {GOLD: >*} | *#aɾsˈɛŋɡə# {GOLD: #əɾsˈiŋɡə#}
44     | ... | ... | ... | ... | ... | ... | #ˈɑnɡɛlu# | *#ˈɑ̃nɟɛlu# | *#ˈɑ̃nɟəlˠə# | *#ˈʌ̃ɲɟ?0# {GOLD: >*} | *#ˈə̃ɲɟ?0# {GOLD: >*} | *#ˈəɲɟ?0# {GOLD: >*} | *#ˈəɲɟəlˠ# {GOLD: #ˈəɲɟəlˠ#}
45     | ... | ... | ... | ... | #ˈɑɡrion# | *#ˈɑɡrion# | *#ˈeɡrɪon# | *#ˈeɡɾɪ̃n# | *#ˈɛɡɾə̃# | *#ˈɛɡɾ̩# {GOLD: >*} | *#ˈɛɡɾ̩# {GOLD: >*} | *#ˈɛɡɾ̩# {GOLD: >*} | *#ˈɛɡəɾ# {GOLD: #ˈɛɡəɾ#}
46     | ... | ... | ... | ... | #ˈɑnɡɛlu# | *#ˈɑnɡɛlu# | *#ˈenɟɪlu# | *#ˈẽnɟɪlu# | *#ˈɛ̃nɟəlˠə# | *#ˈɛ̃ɲɟ?0# {GOLD: >*} | *#ˈɛ̃ɲɟ?0# {GOLD: >*} | *#ˈɛɲɟ?0# {GOLD: >*} | *#ˈɛɲɟəlˠ# {GOLD: #ˈɛɲɟəlˠ#}
47     | ... | ... | ... | #ˈeːskɑm# | *#ˈeːskɑ# | *#ˈeskɑ# | *#ˈeska# | *#ˈeʃka# | *#ˈɛːʃka# | *#ˈɛːʃkə# {GOLD: >*} | *#ˈɛːʃkə# {GOLD: >*} | *#ˈɛʃkə# {GOLD: >*} | *#ˈɛʃkə# {GOLD: #ˈɛʃkə#}
48     | ... | ... | #ɦˌaːˈera# | *#ˌɒːˈerɑ# | *#ˌɒːˈɛrɑ# | *#ˌoˈɛrɑ# | *#ˌoːˈɛra# | *#ˌɔːˈɛɾa# | *#ˌɔːˈɛːɾa# | *#ˈɛːɾə# {GOLD: >*} | *#ˈɛːɾə# {GOLD: >*} | *#ˈɛɾə# {GOLD: >*} | *#ˈɛɾə# {GOLD: #ˈɛɾə#}
49     | ... | ... | ... | #ˈɑmitɑm# | *#ˈɑmɪtɑ# | *#ˈɑmetɑ# | *#ˈemɪta# | *#ˈẽmɪta# | *#ˈɛ̃mta# | *#ˈɛ̃mtə# {GOLD: #ˈæ̃mətə#} | *#ˈɛ̃mtə# {GOLD: >*} | *#ˈɛmtə# {GOLD: >*} | *#ˈɛmtə# {GOLD: #ˈɛmtə#}
50     | ... | ... | ... | ... | ... | #jˌɑːnnwˈɑrju# | *#jˌaːnnˈeru# | *#jˌãːnnˈeɾu# | *#jˌãːnːˈɛːɾə# | *#jˌãːnːˈɛːɾ# {GOLD: >*} | *#jˌãːnˈɛːɾ# {GOLD: >*} | *#janˈɛɾ# {GOLD: >*} | *#janˈɛɾ# {GOLD: #janˈaɾ#}
51     | ... | ... | ... | ... | ... | ... | ... | ... | #jˌɑrˈinɑ# | *#jˌaɾˈinə# {GOLD: >*} | *#jˌaɾˈinə# {GOLD: >*} | *#jaɾˈinə# {GOLD: >*} | *#jaɾˈinə# {GOLD: #jaɾˈinə#}
52     | ... | ... | ... | ... | ... | ... | #jˌɑrˈɒwʊ# | *#jˌɑɾˈɔə̯# | *#jˌɑɾˈuo̯# | *#jˌaɾˈuo̯# {GOLD: >*} | *#jˌaɾˈua̯# {GOLD: >*} | *#jaɾˈua̯# {GOLD: >*} | *#jaɾˈua̯# {GOLD: #jaɾˈua̯#}
53     | ... | ... | ... | ... | ... | ... | #ˈæzʊ# | *#jˈazə# | *#jˈaːzə# | *#jˈaːz# {GOLD: >*} | *#jˈaːz# {GOLD: >*} | *#jˈaz# {GOLD: >*} | *#jˈaz# {GOLD: #jˈaz#}
54     | ... | ... | ... | ... | ... | ... | ... | ... | #jˈɑrɪmʊ# | *#jˈaɾm# {GOLD: >*} | *#jˈaɾm# {GOLD: >*} | *#jˈaɾm# {GOLD: >*} | *#jˈaɾm# {GOLD: #jˈaɾm#}
55     | ... | ... | ... | #ˈae̯wa# | *#ˈɛwa# | *#ˈɛwa# | *#ˈɛwa# | *#ˈɛːva# | *#ˈie̯va# | *#jˈɛvə# {GOLD: >*} | *#jˈɛvə# {GOLD: >*} | *#jˈɛvə# {GOLD: >*} | *#jˈɛvə# {GOLD: #jˈavə#}
56     | ... | ... | ... | ... | #ˈɛːxɔn# | *#ˈɛxon# | *#ˈɛxon# | *#ˈɛːxɔ̃n# | *#ˈie̯xə# | *#jˈɛx# {GOLD: >*} | *#jˈɛh# {GOLD: >*} | *#jˈɛh# {GOLD: >*} | *#jˈɛh# {GOLD: #jˈɛh#}
57     | ... | ... | ... | #ˈae̯tɑːtɑ# | *#ˈɛtɑːtɑ# | *#ˈɛttɑ# | *#ˈɛtta# | *#ˈɛːta# | *#ˈie̯ta# | *#jˈɛtə# {GOLD: >*} | *#jˈɛtə# {GOLD: >*} | *#jˈɛtə# {GOLD: >*} | *#jˈɛtə# {GOLD: #jˈɛtə#}
58     | ... | ... | ... | ... | ... | ... | #ˈɛzɛrʊ# | *#ˈɛːzɛɾə# | *#ˈie̯zəɾə# | *#jˈɛzɾ̩# {GOLD: >*} | *#jˈɛzɾ̩# {GOLD: >*} | *#jˈɛzɾ̩# {GOLD: >*} | *#jˈɛzəɾ# {GOLD: #jˈɛzəɾ#}
59     | ... | ... | #ɦˈɛːremon# | *#ˈɛːrəmon# | *#ˈɛːrəmʊ# | *#ˈɛrəmu# | *#ˈɛrəmu# | *#ˈɛːɾmu# | *#ˈie̯ɾmə# | *#jˈɛɾm# {GOLD: #jˈɛɾəm#} | *#jˈɛɾm# {GOLD: >*} | *#jˈɛɾm# {GOLD: >*} | *#jˈɛɾm# {GOLD: #jˈɛɾm#}
60     | ... | ... | ... | ... | ... | ... | ... | #jˌɔzˈɛfɔ# | *#jˌɔzˈɛːfə# | *#jˌɔzˈɛːf# {GOLD: >*} | *#jˌɔzˈɛːf# {GOLD: >*} | *#jɔzˈɛf# {GOLD: >*} | *#jɔzˈɛf# {GOLD: #jɔzˈɛf#}
61     | ... | ... | ... | ... | ... | ... | ... | #jˌɔzˈifɔ# | *#jˌɔzˈiːfə# | *#jˌɔzˈiːf# {GOLD: >*} | *#jˌɔzˈiːf# {GOLD: >*} | *#jɔzˈif# {GOLD: >*} | *#jɔzˈif# {GOLD: #jɔzˈif#}
62     | ... | ... | ... | ... | ... | ... | ... | ... | #jˈuɡʊ# | *#jˈuɡ# {GOLD: >*} | *#jˈuɡ# {GOLD: >*} | *#jˈuɡ# {GOLD: >*} | *#jˈuɡ# {GOLD: #jˈuɡ#}
63     | ... | ... | ... | ... | ... | ... | ... | ... | #jˈudʊ# | *#jˈud# {GOLD: >*} | *#jˈud# {GOLD: >*} | *#jˈud# {GOLD: >*} | *#jˈud# {GOLD: #jˈud#}
64     | ... | ... | ... | ... | ... | ... | #ˈilɪcˈetu# | *#ˈilɪcˈetu# | *#ˈiːlcˈɛtə# | *#ˈiːlcˈɛt# {GOLD: >*} | *#ˈiːlcˈɛt# {GOLD: >*} | *#ˈilcɛt# {GOLD: >*} | *#ˈilcɛt# {GOLD: #ilcˈɛt#}
65     | ... | ... | ... | #ˈiːliɑ# | *#ˈiʎɑ# | *#ˈiʎɑ# | *#ˈiʎa# | *#ˈiʎa# | *#ˈiːʎa# | *#ˈiːʎə# {GOLD: >*} | *#ˈiːʎə# {GOLD: >*} | *#ˈijə# {GOLD: >*} | *#ˈijə# {GOLD: #ˈijə#}
66     | ... | ... | #ɦˈejsammon# | *#ˈejsɑmmon# | *#ˈɛjsɑmmʊ# | *#ˈɛjsɑmmu# | *#ˈisammu# | *#ˈiʃɐmmu# | *#ˈiːʃɐmə# | *#ˈiːʃm̩# {GOLD: >*} | *#ˈiːʃm̩# {GOLD: >*} | *#ˈiʃm̩# {GOLD: >*} | *#ˈiʃəm# {GOLD: #ˈiʃəm#}
67     | ... | ... | ... | #ˈiːnsulɑm# | *#ˈinsʊlɑ# | *#ˈisulɑ# | *#ˈisula# | *#ˈiʃula# | *#ˈiːʃulˠə# | *#ˈiːʃulˠ# {GOLD: >*} | *#ˈiːʃulˠ# {GOLD: >*} | *#ˈiʃulˠ# {GOLD: >*} | *#ˈiʃulˠ# {GOLD: #ˈiʃulˠ#}
68     | ... | ... | ... | ... | ... | ... | ... | ... | #jˈɪskrɑ# | *#ˈiskɾ̩# {GOLD: >*} | *#ˈiskɾ̩# {GOLD: >*} | *#ˈiskɾ̩# {GOLD: >*} | *#ˈiskəɾ# {GOLD: #ˈiskəɾ#}
69     | ... | ... | ... | ... | ... | ... | ... | #ˈiːðulɔ# | *#ˈiːðulˠə# | *#ˈiːðulˠ# {GOLD: >*} | *#ˈiːðulˠ# {GOLD: >*} | *#ˈiðulˠ# {GOLD: >*} | *#ˈiðulˠ# {GOLD: #ˈiðulˠ#}
70     | ... | ... | ... | #ˈiːlikem# | *#ˈilɪkɛ# | *#ˈilekɛ# | *#ˈilɪcɪ# | *#ˈilɪcɪ# | *#ˈiːlcə# | *#ˈiːlc# {GOLD: >*} | *#ˈiːlc# {GOLD: >*} | *#ˈilc# {GOLD: >*} | *#ˈilc# {GOLD: #ˈilc#}
71     | ... | ... | ... | #ˈiːrɑ# | *#ˈirɑ# | *#ˈirɑ# | *#ˈira# | *#ˈiɾa# | *#ˈiːɾa# | *#ˈiːɾə# {GOLD: >*} | *#ˈiːɾə# {GOLD: >*} | *#ˈiɾə# {GOLD: >*} | *#ˈiɾə# {GOLD: #ˈiɾə#}
72     | ... | ... | ... | #ˌeːrˈiːkium# | *#ˈeːrikjʊ# | *#ˈerikju# | *#ˈirɪcju# | *#ˈiɾɪcju# | *#ˈiːɾicjə# | *#ˈiːɾic# {GOLD: >*} | *#ˈiːɾic# {GOLD: >*} | *#ˈiɾic# {GOLD: >*} | *#ˈiɾic# {GOLD: #ˈiɾic#}
