etID  | Antique Proto-Albanian | Middle Proto-Albanian | Late Proto-Albanian |  Proto-Tosk |  Old Northern Tosk Albanian | Output {GOLD}
46     | #ˌɑrɡˈentum# | #ˌɑrɡˈentəm# | #ərɟjˈɛːnd# | #həɾɟjˈɛ̃ːnd# | #həɾɟjˈɛnd# | #həɾɟjˈɛnd# {GOLD: #ɛɾɟˈɛnd#}
47     | #ˈɑrmɑ# | #ˈɑrmɑ# | #ˈaːrmə# | #hˈaːɾmbə# | #hˈaɾmbə# | #hˈaɾmbə# {GOLD: #ˈaɾmə#}
48     | #ˌɑrmˈɑːnioː# | #ˌɑrmˈɑːɲoː# | #ərmˈaːɲ# | #həɾmˈəːɲ# | #həɾmˈəɲ# | #həɾmˈəɲ# {GOLD: #aɾmˈɔj#}
49     | #ˌɑrmˈɑːtɑ# | #ˌɑrmˈɑːtɑ# | #ərmˈatə# | #həɾmˈatə# | #həɾmˈatə# | #həɾmˈatə# {GOLD: #rəmˈatə#}
50     | #ˌɑrmissˈɑːrium# | #ˌɑrmissˈɑːrjəm# | #ərməʃʃˈɛːrj# | #həɾmbəʃʃˈɛːɾj# | #həɾmbəʃʃˈɛɾj# | #həɾmbət͡ʃʃˈɛɾj# {GOLD: #harməʃˈɔɾ#}
51     | #ˌɑrrˌiwˈɑːnioː# | #ˌɑrːˌiˈɑːɲoː# | #rːˈaːɲ# | #rˈəːɲ# | #rˈəɲ# | #rˈəɲ# {GOLD: #arˈij#}
52     | #ˌɑrˈeːnɑm# | #ˌɑrˈeːnəm# | #rˈɛːn# | #ɾˈɛ̃ːn# | #ɾˈɛn# | #ɾˈɛn# {GOLD: #ɾˈəɾə#}
53     | #ˈɑrkum# | #ˈɑrkəm# | #ˈaːrk# | #hˈaːɾk# | #hˈaɾk# | #hˈaɾk# {GOLD: #hˈaɾk#}
54     | #ˈɑrkum# | #ˈɑrkəm# | #ˈaːrk# | #hˈaːɾk# | #hˈaɾk# | #hˈaɾk# {GOLD: #ˈaɾk#}
55     | #ˈɑrkɑm# | #ˈɑrkəm# | #ˈaːrk# | #hˈaːɾk# | #hˈaɾk# | #hˈaɾk# {GOLD: #ˈaɾkə#}
56     | #ˈɑsklɑ# | #ˈɑsklɑ# | #ˈaːʃklə# | #hˈaːʃkʎə# | #hˈaʃcə# | #hˈat͡ʃcə# {GOLD: #ˈaʃkəl#}
57     | #ˌɑspˈɑrɑɡum# | #ˌɑspˈɑrəɡəm# | #ʃpˈaːrɡ# | #ʃpˈaːɾɡ# | #ʃpˈaɾɡ# | #t͡ʃpˈaɾɡ# {GOLD: #ʃpˈaɾɡ#}
58     | #ˈɑsper# | #ˈɑspər# | #ˈaːʃpr# | #hˈaːʃpɾ# | #hˈaʃpɾ# | #hˈat͡ʃpɾ# {GOLD: #ˈaʃpəɾ#}
59     | #ˌɑwlɑmˈentum# | #ˌɑwlɑmˈentəm# | #ləmjˈɛːnd# | #lə̃mjˈɛ̃ːnd# | #ləmjˈɛnd# | #ləmjˈɛnd# {GOLD: #avləmˈɛnd#}
60     | #ˌɑwɡˈustus# | #ˌɑwɡˈustu# | #ɡˈuːʃt# | #ɡˈuːʃt# | #ɡˈuʃt# | #ɡˈut͡ʃt# {GOLD: #ɡˈuʃt#}
61     | #ˈɑwrum# | #ˈɑwrəm# | #ˈaːr# | #hˈaːɾ# | #hˈaɾ# | #hˈaɾ# {GOLD: #ˈaɾ#}
62     | #ˌɑwˈunkulus# | #ˌɑˈunkəlːu# | #ˈuːnɡlː# | #hˈũːnɡlˠ# | #hˈunɡlˠ# | #hˈunɡlˠ# {GOLD: #ˈuɲɟ#}
63     | #bˈɑlbiː# | #bˈɑlbiː# | #bˈɛːlb# | #bˈɛːlb# | #bˈɛlb# | #bˈɛlb# {GOLD: #bˈɛlbə#}
64     | #bˈɑlsɑmum# | #bˈɑlsəməm# | #bˈaːlʃm# | #bˈaːlʒmb# | #bˈalʒmb# | #bˈalʒmb# {GOLD: #bˈalt͡ʃəm#}
65     | #bˈɑneɑ# | #bˈɑɲɑ# | #bˈaːɲə# | #bˈəːɲə# | #bˈəɲə# | #bˈəɲə# {GOLD: #bˈaɲə#}
66     | #bˌɑrˈɑtʰrum# | #bˌɑrˈɑtrəm# | #bərˈatr# | #bəɾˈatɾ# | #bəɾˈatɾ# | #bəɾˈatɾ# {GOLD: #balˈadəɾ#}
67     | #bˌɑrbˈɑːtum# | #bˌɑrbˈɑːtəm# | #bərbˈat# | #bəɾbˈat# | #bəɾbˈat# | #bəɾbˈat# {GOLD: #vaɾvˈat#}
68     | #bˌɑrrˈiːnioː# | #bˌɑrːˈiːɲoː# | #bərːˈiːɲ# | #bərˈĩːɲ# | #bərˈiɲ# | #bərˈiɲ# {GOLD: #bariɾˈɔj#}
69     | #bˈɑrkɑm# | #bˈɑrkəm# | #bˈaːrk# | #bˈaːɾk# | #bˈaɾk# | #bˈaɾk# {GOLD: #bˈaɾkə#}
70     | #bˌɑttuˈɑːliɑm# | #bˌɑttwˈɑːʎəm# | #bəttwˈɛːʎ# | #bəttwˈɛːʎ# | #bəttwˈɛj# | #bəttwˈɛj# {GOLD: #bɛtˈɛjə#}
71     | #bˌɑttuˈɑːliɑm# | #bˌɑttwˈɑːʎəm# | #bəttwˈɛːʎ# | #bəttwˈɛːʎ# | #bəttwˈɛj# | #bəttwˈɛj# {GOLD: #bətˈajə#}
72     | #bˌenediːkˈonioː# | #bˌenediːkˈoɲoː# | #bənəəkˈɔːɲ# | #bə̃ɾəəkˈɔ̃ːɲ# | #bəɾəəkˈɔɲ# | #bəɾəəkˈɔɲ# {GOLD: #bənkˈɔj#}
73     | #bˈeːstiɑm# | #bˈeːstjəm# | #bˈiːʃ?# | #bˈiːʃ?# | #bˈiʃ?# | #bˈit͡ʃ?# {GOLD: #bˈiʃə#}
74     | #bˌiːnˈɑːrium# | #bˌiːnˈɑːrjəm# | #bənˈɛːrj# | #bə̃ɾˈɛːɾj# | #bəɾˈɛɾj# | #bəɾˈɛɾj# {GOLD: #biɲˈaɾ#}
75     | #blˈennum# | #blˈenːəm# | #blˈɛːnː# | #blˈɛ̃ːn# | #blˈɛn# | #blˈɛn# {GOLD: #blˈi#}
76     | #bˈolɑ# | #bˈolːɑ# | #bˈɔːlːə# | #bˈɔːlˠə# | #bˈɔlˠə# | #bˈɔlˠə# {GOLD: #bˈɔlˠə#}
77     | #brˈɑːkae̯# | #brˈɑːkɛ# | #brˈɛc# | #bɾˈɛc# | #bɾˈɛc# | #bɾˈɛc# {GOLD: #bɾˈɛkə#}
78     | #brˈokkɑ# | #brˈokkɑ# | #brˈɔkkə# | #bɾˈɔkkə# | #bɾˈɔkkə# | #bɾˈɔkkə# {GOLD: #pɾˈɔkə#}
79     | #brˈoːtɑkus# | #brˈoːtəku# | #brˈɛtk# | #bɾˈɛtk# | #bɾˈɛtk# | #bɾˈɛtk# {GOLD: #bɾˈɛtk#}
80     | #brˈoːtɑskus# | #brˈoːtəsku# | #brˈɛtʃk# | #bɾˈɛtʃk# | #bɾˈɛtʃk# | #bɾˈɛtt͡ʃk# {GOLD: #bɾˈɛʃkə#}
81     | #brˈuːmɑm# | #brˈuːməm# | #brˈyːm# | #bɾˈỹːmb# | #bɾˈymb# | #bɾˈymb# {GOLD: #bɾˈymə#}
82     | #bˈubɑlus# | #bˈuəlːu# | #bˈuːlː# | #bˈuːlˠ# | #bˈulˠ# | #bˈulˠ# {GOLD: #bˈua̯lˠ#}
83     | #bˌubulkˈeːnsis# | #bˌuulkˈeːsi# | #bəəlcˈiːʃ# | #bəəlcˈiːʃ# | #bəəlkˈiʃ# | #bəəlcˈiʃ# {GOLD: #bult͡ʃˈɛʃ#}
84     | #bˌubˈulkum# | #bˌuˈulkəm# | #bˈuːlk# | #bˈuːʎk# | #bˈujk# | #bˈujk# {GOLD: #bˈujk#}
85     | #bˈullɑm# | #bˈuləm# | #bˈuːl# | #bˈuːl# | #bˈul# | #bˈul# {GOLD: #bˈulə#}
86     | #bˈukkɑm# | #bˈukkəm# | #bˈukk# | #bˈukk# | #bˈukk# | #bˈukk# {GOLD: #bˈukə#}
87     | #bˈuksum# | #bˈuksəm# | #bˈuːfʃ# | #bˈuːfʃ# | #bˈufʃ# | #bˈufʃ# {GOLD: #bˈuʃ#}
88     | #bˈurɡus# | #bˈurɡu# | #bˈuːrɡ# | #bˈuːɾɡ# | #bˈuɾɡ# | #bˈuɾɡ# {GOLD: #bˈuɾɡ#}
89     | #bˈuttem# | #bˈuttəm# | #bˈutt# | #bˈutt# | #bˈutt# | #bˈutt# {GOLD: #bˈut#}
90     | #dˈae̯monem# | #dˈɛmənəm# | #?ˈɛːmn# | #?ˈɛ̃ːmn# | #?ˈɛmn# | #?ˈɛmn# {GOLD: #djˈɛməɾ#}
91     | #dˌɑmnˈɑːnioː# | #dˌɑmnˈɑːɲoː# | #dəmnˈaːɲ# | #də̃mnˈəːɲ# | #dəmnˈəɲ# | #dəmnˈəɲ# {GOLD: #dənˈɔj#}
92     | #dˈɑmnum# | #dˈɑmnəm# | #dˈaːmn# | #dˈəːmn# | #dˈəmn# | #dˈəmn# {GOLD: #dˈəm#}
93     | #dˌeːbitˈɑːnioː# | #dˌeːitˈɑːɲoː# | #dəətˈaːɲ# | #dəətˈəːɲ# | #dəətˈəɲ# | #dəətˈəɲ# {GOLD: #dətˈɔj#}
94     | #dˌeːbitˈoːrem# | #dˌeːitˈoːrəm# | #dəətˈɛːr# | #dəətˈɛːɾ# | #dəətˈɛɾ# | #dəətˈɛɾ# {GOLD: #dɛtˈua̯ɾ#}
95     | #dˌeːbitˈuːrɑm# | #dˌeːitˈuːrəm# | #dəətˈyːr# | #dəətˈyːɾ# | #dəətˈyɾ# | #dəətˈyɾ# {GOLD: #dɛtˈyɾə#}
96     | #dˌeːleːɡˈɑːnioː# | #dˌeːʎeːɡˈɑːɲoː# | #dəʎɡˈaːɲ# | #dəʎɡˈəːɲ# | #dəjɡˈəɲ# | #dəjɡˈəɲ# {GOLD: #dəɾɡˈɔj#}
97     | #dˌeliberˈɑːnioː# | #dˌeʎierˈɑːɲoː# | #dəʎəərˈaːɲ# | #dəʎəəɾˈəːɲ# | #dəjəəɾˈəɲ# | #dəjəəɾˈəɲ# {GOLD: #dəliɾˈɔj#}
98     | #dˌeːkɑptˈɑːnioː# | #dˌeːkɑptˈɑːɲoː# | #dəkəftˈaːɲ# | #dəkəftˈəːɲ# | #dəkəftˈəɲ# | #dəkəftˈəɲ# {GOLD: #diktˈɔj#}
99     | #dˌeːpenetrˈɑːnioː# | #dˌeːpenetrˈɑːɲoː# | #dəpəndrˈaːɲ# | #dəpə̃ndɾˈəːɲ# | #dəpəndɾˈəɲ# | #dəpəndɾˈəɲ# {GOLD: #dɛpəɾtˈɔj#}
100    | #dˌeːpositˈɑːnioː# | #dˌeːpositˈɑːɲoː# | #dəpəʃətˈaːɲ# | #dəpəʃətˈəːɲ# | #dəpəʃətˈəɲ# | #dəpəʃətˈəɲ# {GOLD: #dəʃtˈɔj#}
101    | #dˌeːrɑːmˈɑːnioː# | #dˌeːrɑːmˈɑːɲoː# | #dərəmˈaːɲ# | #dəɾə̃mˈəːɲ# | #dəɾəmˈəɲ# | #dəɾəmˈəɲ# {GOLD: #dəɾmˈɔj#}
102    | #dˌeːsˌiːderˈɑːnioː# | #dˌeːsˌiːderˈɑːɲoː# | #dəʃəərˈaːɲ# | #dəʃəəɾˈəːɲ# | #dəʃəəɾˈəɲ# | #dəʃəəɾˈəɲ# {GOLD: #dəʃiɾˈɔj#}
103    | #dˌeːsˈiːderiɑm# | #dˌeːsˈiːdərjəm# | #dəʃˈidrj# | #dəʃˈidɾj# | #dəʃˈidɾj# | #dəʃˈidɾj# {GOLD: #dəʃˈiɾə#}
104    | #diˈɑbolus# | #djˈɑəlːu# | #?ˈaːlː# | #?ˈaːlˠ# | #?ˈalˠ# | #?ˈalˠ# {GOLD: #djˈalˠ#}
105    | #diˈɑːnɑ# | #djˈɑːnɑ# | #?ˈaːnə# | #?ˈəːɾə# | #?ˈəɾə# | #?ˈəɾə# {GOLD: #zˈəɾə#}
106    | #dˌiɡitˈɑːnioː# | #dˌiɡitˈɑːɲoː# | #dəjətˈaːɲ# | #dəjətˈəːɲ# | #dəjətˈəɲ# | #dəjətˈəɲ# {GOLD: #dəftˈɔj#}
107    | #dˈiɡnus# | #dˈiɲu# | #dˈɛːɲ# | #dˈɛ̃ːɲ# | #dˈɛɲ# | #dˈɛɲ# {GOLD: #dˈɛɲə#}
108    | #dˌiːriɡˈɑːnioː# | #dˌiːriɡˈɑːɲoː# | #dərɡˈaːɲ# | #dəɾɡˈəːɲ# | #dəɾɡˈəɲ# | #dəɾɡˈəɲ# {GOLD: #dəɾɡˈɔj#}
109    | #dˌiːrˈeːktum# | #dˌiːrˈeːktəm# | #dərˈijt# | #dəɾˈijt# | #dəɾˈijt# | #dəɾˈijt# {GOLD: #dɾˈɛjt#}
110    | #dis# | #di# | #d# | #d# | #d# | #d# {GOLD: #z#}
111    | #dˌiskˌɑbɑllikˈɑːnioː# | #dˌiskˌɑɑlikˈɑːɲoː# | #dəʃkəəlkˈaːɲ# | #dəʃkəəʎkˈəːɲ# | #dəʃkəəjkˈəɲ# | #dət͡ʃkəəjkˈəɲ# {GOLD: #ʃkalkˈɔj#}
112    | #dˌiskˌɑrrikˈɑːnioː# | #dˌiskˌɑrːikˈɑːɲoː# | #dəʃkərːəkˈaːɲ# | #dəʃkərəkˈəːɲ# | #dəʃkərəkˈəɲ# | #dət͡ʃkərəkˈəɲ# {GOLD: #ʃkaɾkˈɔj#}
113    | #dˈiskum# | #dˈiskəm# | #dˈɛːʃk# | #dˈɛːʃk# | #dˈɛʃk# | #dˈɛt͡ʃk# {GOLD: #dˈiʃkə#}
114    | #dˌiskwˌiritˈɑːnioː# | #dˌiskˌiritˈɑːɲoː# | #dəʃkərtˈaːɲ# | #dəʃkəɾtˈəːɲ# | #dəʃkəɾtˈəɲ# | #dət͡ʃkəɾtˈəɲ# {GOLD: #ʃcyɾtˈɔj#}
115    | #dˌisspˌiːrˈɑːnioː# | #dˌisspˌiːrˈɑːɲoː# | #dəʃʃpərˈaːɲ# | #dəʃʃpəɾˈəːɲ# | #dəʃʃpəɾˈəɲ# | #dət͡ʃt͡ʃpəɾˈəɲ# {GOLD: #ʃpirˈɔj#}
116    | #dˌomestikˈɑːnioː# | #dˌomestikˈɑːɲoː# | #dəməʃtəkˈaːɲ# | #də̃mbəʃtəkˈəːɲ# | #dəmbəʃtəkˈəɲ# | #dəmbət͡ʃtəkˈəɲ# {GOLD: #muʃtəkˈɔj#}
117    | #dˌolˈeːnioː# | #dˌoʎˈeːɲoː# | #dəʎˈɛːɲ# | #dəʎˈɛ̃ːɲ# | #dəjˈɛɲ# | #dəjˈɛɲ# {GOLD: #dəlˠˈɛj#}
118    | #dˌolˈoːrem# | #dˌolːˈoːrəm# | #dəlːˈɛːr# | #dəlˠˈɛːɾ# | #dəlˠˈɛɾ# | #dəlˠˈɛɾ# {GOLD: #dulˠˈye#}
119    | #dˌoːnˈɑːnioː# | #dˌoːnˈɑːɲoː# | #dənˈaːɲ# | #də̃ɾˈəːɲ# | #dəɾˈəɲ# | #dəɾˈəɲ# {GOLD: #ðuɾˈɔj#}
120    | #drˈɑkiː# | #drˈɑkiː# | #drˈɛc# | #dɾˈɛc# | #dɾˈɛc# | #dɾˈɛc# {GOLD: #dɾˈɛc#}
121    | #drˌɑnkˈoːnem# | #drˌɑnkˈoːnəm# | #drənɟˈɛːn# | #dɾə̃nɟˈɛ̃ːn# | #dɾənɟˈɛn# | #dɾənɟˈɛn# {GOLD: #dɾaɡˈua̯#}
122    | #dˈukem# | #dˈukəm# | #dˈuk# | #dˈuk# | #dˈuk# | #dˈuk# {GOLD: #dˈuc#}
123    | #dˌuplikˈɑːnioː# | #dˌuplikˈɑːɲoː# | #dəplkˈaːɲ# | #dəpʎkˈəːɲ# | #dəpjkˈəɲ# | #dəpjkˈəɲ# {GOLD: #dulpəkˈɔj#}
124    | #dˌuːrˈɑːnioː# | #dˌuːrˈɑːɲoː# | #dərˈaːɲ# | #dəɾˈəːɲ# | #dəɾˈəɲ# | #dəɾˈəɲ# {GOLD: #duɾˈoj#}
125    | #dˈurrɑt͡ʃum# | #dˈurːət͡ʃəm# | #dˈuːrːt͡ʃ# | #dˈuːr?# | #dˈur?# | #dˈur?# {GOLD: #dˈurəs#}
126    | #ˌeːdiktˈɑːnioː# | #ˌeːdiktˈɑːɲoː# | #ɛjtˈaːɲ# | #hɛjtˈəːɲ# | #həjtˈəɲ# | #həjtˈəɲ# {GOLD: #hɛtˈɔj#}
127    | #ˌekklˈeːsiɑm# | #ˌekklˈeːsjəm# | #kklˈiːʃj# | #kkʎˈiːʃj# | #kkˈiʃj# | #kcˈiʃj# {GOLD: #kˈiʃə#}
128    | #ˌekkum# | #ˌekkum# | #kk# | #kk# | #kk# | #kk# {GOLD: #kə#}
129    | #ˌeksˈɑːmen# | #ˌeksˈɑːmən# | #fʃˈaːmn# | #fʃˈəːmn# | #fʃˈəmn# | #fʃˈəmn# {GOLD: #ʃˈɛmə#}
130    | #ˌeksˌɑmputˈɑːnioː# | #ˌeksˌɑmputˈɑːɲoː# | #fʃəmbətˈaːɲ# | #fʃə̃mbətˈəːɲ# | #fʃəmbətˈəɲ# | #fʃəmbətˈəɲ# {GOLD: #ʃəmtˈɔj#}
131    | #ˌeksˌɑnimˈɑːnioː# | #ˌeksˌɑnimˈɑːɲoː# | #fʃənəmˈaːɲ# | #fʃə̃ɾə̃mˈəːɲ# | #fʃəɾəmˈəɲ# | #fʃəɾəmˈəɲ# {GOLD: #ʃəmˈɔj#}
