etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk | Old North Tosk | Standard Albanian | Output {GOLD}
20     | ... | ... | ... | ... | ... | ... | #ˌɒɡrˈɒdjɑ# | *#ˌɒɡrˈɒ?1ɑ# | *#ˌɒɡrˈɒ?1ɑ# | *#hˌaɡrˈa?1ə# {GOLD: >*} | *#hˌaɡɾˈa?1ə# | *#həɡɾˈa?1ə# | *#həɡɾˈa?1ə# | *#həɡɾˈa?1ə# {GOLD: #ɔɡɾˈajə#}
21     | ... | ... | ... | ... | ... | ... | ... | ... | #ˌɒtˈɑβɑ# | *#hˌatˈaːvə# {GOLD: >*} | *#hˌatˈaːvə# | *#hətˈavə# | *#hətˈavə# | *#hətˈavə# {GOLD: #ɔtˈavə#}
22     | ... | ... | ... | ... | ... | ... | #ˌɒrɒ̃dˈɪjɛ# | *#ˌɒrɒ̃dˈɪjɛ# | *#ˌɒrɒ̃dˈɪjɛ# | *#hˌarãdˈɪj# {GOLD: >*} | *#hˌaɾə̃dˈɪj# | *#hˌaɾədˈɪj# | *#haɾədˈɪj# | *#haɾədˈɪj# {GOLD: #ɔɾəndˈi#}
23     | ... | ... | ... | ... | ... | ... | ... | ... | #ˌɒbʊrˈɒkʊ# | *#hˌabrˈak# {GOLD: >*} | *#hˌabɾˈak# | *#həbɾˈak# | *#həbɾˈak# | *#həbɾˈak# {GOLD: #ɔɾˈɔk#}
24     | ... | ... | ... | ... | ... | ... | #ˌɒbʊpˈɪnʊkɑ# | *#ˌɒbʊpˈɪnʊkɑ# | *#ˌɒbʊpˈɪnʊkɑ# | *#hˌabpˈɪː̃nkə# {GOLD: #ˌɒpˈɑ̃nkə#} | *#hˌabpˈɪː̃nkə# | *#həbpˈɪnkə# | *#həbpˈɪnkə# | *#həbpˈɪnkə# {GOLD: #ɔpˈəŋɡə#}
25     | ... | ... | ... | ... | ... | ... | ... | ... | #ˌɒbβˈɒrʊ# | *#hˌabvˈaːr# {GOLD: >*} | *#hˌabvˈaːɾ# | *#həbvˈaɾ# | *#həbvˈaɾ# | *#həbvˈaɾ# {GOLD: #ɔbˈɔr#}
26     | ... | ... | ... | ... | ... | ... | #ˌɒblˈɒ̃kʊ# | *#ˌɒblˈɒ̃kʊ# | *#ˌɒblˈɒ̃kʊ# | *#hˌablˈãk# {GOLD: #ˌɒblˠˈɑ̃nk#} | *#hˌablˈə̃k# | *#həblˈək# | *#həblˈək# | *#həblˈək# {GOLD: #ɔblˠˈəŋɡ#}
27     | ... | ... | ... | ... | ... | ... | ... | ... | #ˈɔjiʃtɛ# | *#hˈɔjiʃt# {GOLD: >*} | *#hˈɔjiʃt# | *#hˈɔjiʃt# | *#hˈɔjit͡ʃt# | *#hˈɔjit͡ʃt# {GOLD: #ˈɔʃtə#}
28     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɒt͡ʃurˈɛlʊ# | *#kˌat͡ʃurˈɛːl# {GOLD: >*} | *#kˌat͡ʃuɾˈɛːl# | *#kˌat͡ʃəɾˈɛl# | *#kat͡ʃəɾˈɛl# | *#kat͡ʃəɾˈɛl# {GOLD: #kat͡ʃurˈɛl#}
29     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɒt͡ʃˈulʊ# | *#kˌat͡ʃˈuːl# {GOLD: >*} | *#kˌat͡ʃˈuːl# | *#kət͡ʃˈul# | *#kət͡ʃˈul# | *#kət͡ʃˈul# {GOLD: #kat͡ʃˈul#}
30     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɒt͡ʃˈubɑ# | *#kˌat͡ʃˈubə# {GOLD: >*} | *#kˌat͡ʃˈubə# | *#kət͡ʃˈubə# | *#kət͡ʃˈubə# | *#kət͡ʃˈubə# {GOLD: #kat͡ʃˈubə#}
31     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɒt͡ʃˈubɛlɪ# | *#kˌat͡ʃˈubɛl# {GOLD: >*} | *#kˌat͡ʃˈubɛl# | *#kət͡ʃˈubɛl# | *#kət͡ʃˈubɛl# | *#kət͡ʃˈubɛl# {GOLD: #kat͡ʃˈubəl#}
32     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɑdˈitɪ# | *#kˌadˈit# {GOLD: >*} | *#kˌadˈit# | *#kədˈit# | *#kədˈit# | *#kədˈit# {GOLD: #kadˈit#}
33     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɑstrɑβˈɪt͡sɪ# | *#kˌastravˈɪːt͡s# {GOLD: >*} | *#kˌastɾavˈɪːt͡s# | *#kˌastɾəvˈɪt͡s# | *#kastɾəvˈɪt͡s# | *#kastɾəvˈɪt͡s# {GOLD: #kastɾavˈɛt͡s#}
34     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɑsnˈɪt͡sɪ# | *#kˌasnˈɪːt͡s# {GOLD: >*} | *#kˌasnˈɪːt͡s# | *#kəsnˈɪt͡s# | *#kəsnˈɪt͡s# | *#kəsnˈɪt͡s# {GOLD: #kasnˈɛt͡s#}
35     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɑlibˈɒbʊ# | *#kˌalibˈab# {GOLD: >*} | *#kˌalibˈab# | *#kˌaləbˈab# | *#kaləbˈab# | *#kaləbˈab# {GOLD: #kalibˈɔb#}
36     | ... | ... | ... | ... | ... | ... | #kˌɒlˈɨbɑ# | *#kˌɒlˈɨbɑ# | *#kˌɒlˈɨbɑ# | *#kˌalˈibə# {GOLD: >*} | *#kˌalˈibə# | *#kəlˈibə# | *#kəlˈibə# | *#kəlˈibə# {GOLD: #kalˈibə#}
37     | ... | ... | ... | ... | ... | ... | #kˌɒrwˈɑʎɑ# | *#kˌɒrwˈɑʎɑ# | *#kˌɒrwˈɑʎɑ# | *#kˌarvˈaːʎə# {GOLD: #kˌɒɾˌɒvˈɛlə#} | *#kˌaɾvˈaːʎə# | *#kəɾvˈajə# | *#kəɾvˈajə# | *#kəɾvˈajə# {GOLD: #kaɾavˈɛlə#}
38     | ... | ... | ... | ... | ... | ... | #kˌɒrˈɪt͡sɑ# | *#kˌɒrˈɪt͡sɑ# | *#kˌɒrˈɪt͡sɑ# | *#kˌarˈɪːt͡sə# {GOLD: #kˌɒɾˈit͡sə#} | *#kˌaɾˈɪːt͡sə# | *#kəɾˈɪt͡sə# | *#kəɾˈɪt͡sə# | *#kəɾˈɪt͡sə# {GOLD: #kaɾˈit͡sə#}
39     | ... | ... | ... | ... | ... | ... | #kˌɒrˈɯtɒ# | *#kˌɒrˈɯtɒ# | *#kˌɒrˈɯtɒ# | *#kˌarˈutə# {GOLD: >*} | *#kˌaɾˈutə# | *#kəɾˈutə# | *#kəɾˈutə# | *#kəɾˈutə# {GOLD: #karˈutə#}
40     | ... | ... | ... | ... | ... | ... | #kˌɒrˈupʊ# | *#kˌɒrˈupʊ# | *#kˌɒrˈupʊ# | *#kˌarˈup# {GOLD: >*} | *#kˌaɾˈup# | *#kəɾˈup# | *#kəɾˈup# | *#kəɾˈup# {GOLD: #karˈup#}
41     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɑpˈitɪ# | *#kˌapˈit# {GOLD: >*} | *#kˌapˈit# | *#kəpˈit# | *#kəpˈit# | *#kəpˈit# {GOLD: #kapˈit#}
42     | ... | ... | ... | ... | ... | ... | #kˌɑmɛnˈit͡sɑ# | *#kˌɑmɛnˈit͡sɑ# | *#kˌɑmɛnˈit͡sɑ# | *#kˌãmɛ̃nˈiːt͡sə# {GOLD: >*} | *#kˌə̃mbɛ̃ɾˈiːt͡sə# | *#kˌəmbəɾˈit͡sə# | *#kəmbəɾˈit͡sə# | *#kəmbəɾˈit͡sə# {GOLD: #kamˈit͡sə#}
43     | ... | ... | ... | ... | ... | ... | ... | ... | #tʊkˈɑt͡ʃɪ# | *#tkˈaːt͡ʃ# {GOLD: >*} | *#tkˈaːt͡ʃ# | *#tkˈat͡ʃ# | *#tkˈat͡ʃ# | *#tkˈat͡ʃ# {GOLD: #kˈat͡ʃ#}
44     | ... | ... | ... | ... | ... | ... | #krˌit͡ʃˈɑtɪ# | *#krˌi?2ˈɑtɪ# | *#krˌi?2ˈɑtɪ# | *#krˌi?2ˈat# {GOLD: >*} | *#kɾˌi?2ˈat# | *#kɾə?2ˈat# | *#kɾə?2ˈat# | *#kɾə?2ˈat# {GOLD: #kəɾt͡sˈat#}
45     | ... | ... | ... | ... | ... | ... | #kˌɒrt͡ʃˈunə# | *#kˌɒr?2ˈunə# | *#kˌɒr?2ˈunə# | *#kˌar?2ˈũː# {GOLD: #kˌɾ̩t͡sˈũ#} | *#kˌaɾ?2ˈũː# | *#kəɾ?2ˈu# | *#kəɾ?2ˈu# | *#kəɾ?2ˈu# {GOLD: #kəɾt͡sˈu#}
46     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌʊrbˈɑt͡ʃɪ# | *#kˌʊrbˈaːt͡ʃ# {GOLD: >*} | *#kˌʊɾbˈaːt͡ʃ# | *#kəɾbˈat͡ʃ# | *#kəɾbˈat͡ʃ# | *#kəɾbˈat͡ʃ# {GOLD: #kəɾbˈat͡ʃ#}
47     | ... | ... | ... | ... | ... | ... | #kˌɑpˈuʎɑ# | *#kˌɑpˈuʎɑ# | *#kˌɑpˈuʎɑ# | *#kˌapˈuːʎə# {GOLD: >*} | *#kˌapˈuːʎə# | *#kəpˈujə# | *#kəpˈujə# | *#kəpˈujə# {GOLD: #kəpˈujə#}
48     | ... | ... | ... | ... | ... | ... | #kˌɑmˈiʃtɪ# | *#kˌɑmˈiʃtɪ# | *#kˌɑmˈiʃtɪ# | *#kˌãmˈiːʃt# {GOLD: >*} | *#kˌə̃mˈiːʃt# | *#kəmˈiʃt# | *#kəmˈit͡ʃt# | *#kəmˈit͡ʃt# {GOLD: #kəmˈiʃt#}
49     | ... | ... | ... | ... | ... | ... | ... | ... | #kˈʊlkʊ# | *#kˈɔːʷʎk# {GOLD: >*} | *#kˈɔːʷʎk# | *#kˈʊjk# | *#kˈʊjk# | *#kˈʊjk# {GOLD: #kˈəlˠk#}
50     | ... | ... | ... | ... | ... | ... | #kˈɒ̃tʊ# | *#kˈɒ̃tʊ# | *#kˈɒ̃tʊ# | *#kˈãt# {GOLD: #kˈɑ̃nt#} | *#kˈə̃t# | *#kˈət# | *#kˈət# | *#kˈət# {GOLD: #kˈənd#}
51     | ... | ... | ... | ... | ... | ... | #kˈʊrt͡ʃɪ# | *#kˈʊr?2ɪ# | *#kˈʊr?2ɪ# | *#kˈɔːʷr?2# {GOLD: >*} | *#kˈɔːʷɾ?2# | *#kˈʊɾ?2# | *#kˈʊɾ?2# | *#kˈʊɾ?2# {GOLD: #kˈəɾt͡s#}
52     | ... | ... | ... | ... | ... | ... | ... | ... | #kˈʊrpɑ# | *#kˈɔːʷrpə# {GOLD: >*} | *#kˈɔːʷɾpə# | *#kˈʊɾpə# | *#kˈʊɾpə# | *#kˈʊɾpə# {GOLD: #kˈəɾpə#}
53     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɒsˈitɪ# | *#kˌasˈit# {GOLD: >*} | *#kˌasˈit# | *#kəsˈit# | *#kəsˈit# | *#kəsˈit# {GOLD: #kɔsˈit#}
54     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɒsˈɒrʊ# | *#kˌasˈaːr# {GOLD: >*} | *#kˌasˈaːɾ# | *#kəsˈaɾ# | *#kəsˈaɾ# | *#kəsˈaɾ# {GOLD: #kɔsˈɔɾɛ#}
55     | ... | ... | ... | ... | ... | ... | ... | ... | #kwˌɑðrˈɑnt# | *#kvˌaðrˈãːnt# {GOLD: >*} | *#kvˌaðɾˈəːnt# | *#kvəðɾˈənt# | *#kvəðɾˈənt# | *#kvəðɾˈənt# {GOLD: #kɔðɾˈand#}
56     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɒ̃kˈɒlʊ# | *#kˌãkˈaːl# {GOLD: >*} | *#kˌə̃kˈaːl# | *#kəkˈal# | *#kəkˈal# | *#kəkˈal# {GOLD: #kɔnkˈɔl#}
57     | ... | ... | ... | ... | ... | ... | #kˌɒlˈɛsʊkɑ# | *#kˌɒlˈɛʃʊkɑ# | *#kˌɒlˈɛʃʊkɑ# | *#kˌalˈɛːʃkə# {GOLD: >*} | *#kˌalˈɛːʃkə# | *#kəlˈɛʃkə# | *#kəlˈɛt͡ʃkə# | *#kəlˈɛt͡ʃkə# {GOLD: #kɔlˈɛʃkə#}
58     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɒlˈɨbɑ# | *#kˌalˈibə# {GOLD: >*} | *#kˌalˈibə# | *#kəlˈibə# | *#kəlˈibə# | *#kəlˈibə# {GOLD: #kɔlˈibɛ#}
59     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɒrˈitɪ# | *#kˌarˈit# {GOLD: >*} | *#kˌaɾˈit# | *#kəɾˈit# | *#kəɾˈit# | *#kəɾˈit# {GOLD: #kɔɾˈit#}
60     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɒrˈɨtɒ# | *#kˌarˈitə# {GOLD: >*} | *#kˌaɾˈitə# | *#kəɾˈitə# | *#kəɾˈitə# | *#kəɾˈitə# {GOLD: #kɔɾˈitə#}
61     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɒrˈubɑ# | *#kˌarˈubə# {GOLD: >*} | *#kˌaɾˈubə# | *#kəɾˈubə# | *#kəɾˈubə# | *#kəɾˈubə# {GOLD: #kɔɾˈubə#}
62     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɒpˈit͡sɑ# | *#kˌapˈiːt͡sə# {GOLD: >*} | *#kˌapˈiːt͡sə# | *#kəpˈit͡sə# | *#kəpˈit͡sə# | *#kəpˈit͡sə# {GOLD: #kɔpˈit͡sə#}
63     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɒpˈɨlʊ# | *#kˌapˈiːl# {GOLD: >*} | *#kˌapˈiːl# | *#kəpˈil# | *#kəpˈil# | *#kəpˈil# {GOLD: #kɔpˈil#}
64     | ... | ... | ... | ... | ... | ... | ... | #kˌɒpɾˈɪ̃nɪsɪkɑ# | *#kˌɒpɾˈɪ̃nɪsɪkɑ# | *#kˌapɾˈɪː̃skə# {GOLD: >*} | *#kˌapɾˈɪː̃skə# | *#kəpɾˈɪskə# | *#kəpɾˈɪskə# | *#kəpɾˈɪskə# {GOLD: #kɔpɾˈənt͡skə#}
65     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɒβˈɑt͡ʃɪ# | *#kˌavˈaːt͡ʃ# {GOLD: >*} | *#kˌavˈaːt͡ʃ# | *#kəvˈat͡ʃ# | *#kəvˈat͡ʃ# | *#kəvˈat͡ʃ# {GOLD: #kɔvˈat͡ʃ#}
66     | ... | ... | ... | ... | ... | ... | ... | ... | #kˈɒlʊ# | *#kˈaːl# {GOLD: >*} | *#kˈaːl# | *#kˈal# | *#kˈal# | *#kˈal# {GOLD: #kˈɔlˠ#}
67     | ... | ... | ... | ... | ... | ... | ... | ... | #kˈɒʃʊ# | *#kˈaːʃ# {GOLD: >*} | *#kˈaːʃ# | *#kˈaʃ# | *#kˈaʃ# | *#kˈaʃ# {GOLD: #kˈɔʃ#}
68     | ... | ... | ... | ... | ... | ... | ... | ... | #kˈɒstɪ# | *#kˈaːst# {GOLD: >*} | *#kˈaːst# | *#kˈast# | *#kˈast# | *#kˈast# {GOLD: #kˈɔt͡s#}
69     | ... | ... | ... | ... | ... | ... | ... | #kˈɒzɪlɪt͡sɑ# | *#kˈɒzɪlɪt͡sɑ# | *#kˈaːzlt͡sə# {GOLD: >*} | *#kˈaːzlt͡sə# | *#kˈazlt͡sə# | *#kˈazlt͡sə# | *#kˈazlt͡sə# {GOLD: #kˈɔt͡sə#}
70     | ... | ... | ... | ... | ... | ... | ... | ... | #kˈɒtɪt͡sɑ# | *#kˈatt͡sə# {GOLD: >*} | *#kˈatt͡sə# | *#kˈatt͡sə# | *#kˈatt͡sə# | *#kˈatt͡sə# {GOLD: #kˈɔt͡sə#}
71     | ... | ... | ... | ... | ... | ... | ... | ... | #kβˈɑsʊ# | *#kvˈa# {GOLD: >*} | *#kvˈa# | *#kvˈa# | *#kvˈa# | *#kvˈa# {GOLD: #kˈɔs#}
72     | ... | ... | ... | ... | ... | ... | ... | ... | #kˈɒsɑ# | *#kˈaːsə# {GOLD: >*} | *#kˈaːsə# | *#kˈasə# | *#kˈasə# | *#kˈasə# {GOLD: #kˈɔsə#}
73     | ... | ... | ... | ... | ... | ... | ... | ... | #kˈɒstrɑ# | *#kˈaːstrə# {GOLD: >*} | *#kˈaːstɾə# | *#kˈastɾə# | *#kˈastɾə# | *#kˈastɾə# {GOLD: #kˈɔstəɾ#}
74     | ... | ... | ... | ... | ... | ... | ... | ... | #kˈɒrɑ# | *#kˈaːrə# {GOLD: >*} | *#kˈaːɾə# | *#kˈaɾə# | *#kˈaɾə# | *#kˈaɾə# {GOLD: #kˈɔɾə#}
75     | ... | ... | ... | ... | ... | ... | ... | ... | #kˈɒrɪt͡sjɑ# | *#kˈaːrt͡sɛ# {GOLD: >*} | *#kˈaːɾt͡sɛ# | *#kˈaɾt͡sɛ# | *#kˈaɾt͡sɛ# | *#kˈaɾt͡sɛ# {GOLD: #kˈɔɾt͡ʃə#}
76     | ... | ... | ... | ... | ... | ... | #kˈɒrʊdɑ# | *#kˈɒrʊdɑ# | *#kˈɒrʊdɑ# | *#kˈaːrdə# {GOLD: >*} | *#kˈaːɾdə# | *#kˈaɾdə# | *#kˈaɾdə# | *#kˈaɾdə# {GOLD: #kˈɔɾðə#}
77     | ... | ... | ... | ... | ... | ... | ... | ... | #kˈɒprʊ# | *#kˈapr# {GOLD: >*} | *#kˈapɾ# | *#kˈapɾ# | *#kˈapɾ# | *#kˈapɾ# {GOLD: #kˈɔpəɾ#}
78     | ... | ... | ... | ... | ... | ... | ... | ... | #kˈɒbɪ# | *#kˈab# {GOLD: >*} | *#kˈab# | *#kˈab# | *#kˈab# | *#kˈab# {GOLD: #kˈɔb#}
79     | ... | ... | ... | ... | ... | ... | #kˌɑlpˈitɪ# | *#kˌɑlpˈitɪ# | *#kˌɑlpˈitɪ# | *#kˌalpˈit# {GOLD: >*} | *#kˌalpˈit# | *#kəlpˈit# | *#kəlpˈit# | *#kəlpˈit# {GOLD: #klˠapˈit#}
80     | ... | ... | ... | ... | ... | ... | #kˈɑlpɑ# | *#kˈɑlpɑ# | *#kˈɑlpɑ# | *#kˈaːlpə# {GOLD: >*} | *#kˈaːlpə# | *#kˈalpə# | *#kˈalpə# | *#kˈalpə# {GOLD: #klˠˈapə#}
81     | ... | ... | ... | ... | ... | ... | ... | #kˌɒlt͡ʃˈitɪ# | *#kˌɒlt͡ʃˈitɪ# | *#kˌalt͡ʃˈit# {GOLD: >*} | *#kˌalt͡ʃˈit# | *#kəlt͡ʃˈit# | *#kəlt͡ʃˈit# | *#kəlt͡ʃˈit# {GOLD: #klˠɔt͡ʃˈit#}
82     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌukˈɑtɪ# | *#kˌukˈat# {GOLD: >*} | *#kˌukˈat# | *#kəkˈat# | *#kəkˈat# | *#kəkˈat# {GOLD: #kukˈat#}
83     | ... | ... | ... | ... | ... | ... | #kˌɯsˈɒwɑ# | *#kˌɯʃˈɒwɑ# | *#kˌɯʃˈɒwɑ# | *#kˌuʃˈawə# {GOLD: #kˌuʃˈɔvə#} | *#kˌuʃˈawə# | *#kəʃˈawə# | *#kəʃˈawə# | *#kəʃˈawə# {GOLD: #kuʃˈɔvə#}
84     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɒlˈɑt͡ʃɪ# | *#kˌalˈaːt͡ʃ# {GOLD: >*} | *#kˌalˈaːt͡ʃ# | *#kəlˈat͡ʃ# | *#kəlˈat͡ʃ# | *#kəlˈat͡ʃ# {GOLD: #kulˈat͡ʃ#}
85     | ... | ... | ... | ... | ... | ... | #kˌupælnˈikʊ# | *#kˌupælnˈikʊ# | *#kˌupælnˈikʊ# | *#kˌupɛlnˈik# {GOLD: #kˌupl̩nˈik#} | *#kˌupɛlnˈik# | *#kˌupəlnˈik# | *#kupəlnˈik# | *#kupəlnˈik# {GOLD: #kuplˈik#}
86     | ... | ... | ... | ... | ... | ... | #kˈɯkɑ# | *#kˈɯkɑ# | *#kˈɯkɑ# | *#kˈukə# {GOLD: >*} | *#kˈukə# | *#kˈukə# | *#kˈukə# | *#kˈukə# {GOLD: #kˈukə#}
87     | ... | ... | ... | ... | ... | ... | ... | #kˈut͡ʃɛ̃# | *#kˈut͡ʃɛ̃# | *#kˈuːt͡ʃ# {GOLD: #kˈut͡ʃ#} | *#kˈuːt͡ʃ# | *#kˈut͡ʃ# | *#kˈut͡ʃ# | *#kˈut͡ʃ# {GOLD: #kˈut͡ʃ#}
88     | ... | ... | ... | ... | ... | ... | ... | #kˈutɛ̃# | *#kˈutɛ̃# | *#kˈut# {GOLD: #kˈut#} | *#kˈut# | *#kˈut# | *#kˈut# | *#kˈut# {GOLD: #kˈut#}
89     | ... | ... | ... | ... | ... | ... | #kˈɯlɑ# | *#kˈɯlɑ# | *#kˈɯlɑ# | *#kˈuːlə# {GOLD: >*} | *#kˈuːlə# | *#kˈulə# | *#kˈulə# | *#kˈulə# {GOLD: #kˈulə#}
90     | ... | ... | ... | ... | ... | ... | #kˈʊlbɑ# | *#kˈʊlbɑ# | *#kˈʊlbɑ# | *#kˈɔːʷlbə# {GOLD: >*} | *#kˈɔːʷlbə# | *#kˈʊlbə# | *#kˈʊlbə# | *#kˈʊlbə# {GOLD: #kˈulbə#}
